Region,Habitat,Scenario,Mean Climate Change,Mean Land Use Change,Std Dev New Value
"Central, North-East & South Asia",Non-forested land,SSP4-RCP6.0,-5.676730311298881,-1.6322479977314939,3.279399476167117
"West, Central, East & South Africa",Non-forested land,SSP4-RCP6.0,-2.9760147251647497,-27.48351419533642,1.9118447482048058
Central and Western Europe,Non-forested land,SSP4-RCP6.0,1.3275816426049016,2.497544582530337,3.5502395092075614
North Africa & Western Asia,Non-forested land,SSP4-RCP6.0,-5.798281347412323,-4.106319918574889,3.0195675708955405
South America,Non-forested land,SSP4-RCP6.0,-6.670259277675757,-0.41088155702212686,3.2154202652212547
Eastern Europe,Non-forested land,SSP4-RCP6.0,13.883874023088993,1.0018010777164421,3.4972423909338595
Oceania,Non-forested land,SSP4-RCP6.0,-5.4796715494819255,5.659519734017656,3.289797619840712
Caribbean & Mesoamerica,Non-forested land,SSP4-RCP6.0,-5.44503660618834,-3.2109590546080957,3.504821927583411
South-East Asia,Non-forested land,SSP4-RCP6.0,-1.9881674525778514,-2.274805972608071,0.417918427489757
North America,Non-forested land,SSP4-RCP6.0,12.879489591445713,1.4183799808103041,4.195207637406124
