,rcp26,rcp60
,,
"Central, North-East & South Asia",0.4235047655061494,0.8366977740456945
"West, Central, East & South Africa",0.4456528383053671,5.264092817285042
Central and Western Europe,0.08509469713370514,0.3572667703943007
North Africa & Western Asia,0.3003383647024361,2.176107063000009
South America,0.41603400223180276,0.9045860218464333
Eastern Europe,0.11655076227748198,0.19813070632159882
Oceania,0.28413604637651774,1.3369275342422782
Caribbean & Mesoamerica,0.5045484274384118,0.6970427708447344
South-East Asia,0.6678017937742742,1.9447127379389044
North America,0.12358153958474108,0.314234763181426
