,rcp26,rcp60
,,
"Central, North-East & South Asia",0.5735922945065834,-2.180095491975407
"West, Central, East & South Africa",0.2455489371480898,-10.423409369497364
Central and Western Europe,0.8538374205112642,0.3099847946133636
North Africa & Western Asia,-3.80385898690151,-11.18851707128473
South America,-1.8629474921516664,-2.4609437071094735
Eastern Europe,4.18604069231314,5.517756115637426
Oceania,-0.36583378550743967,-2.6443639730015964
Caribbean & Mesoamerica,-0.4013838851289998,-2.4859632173330763
South-East Asia,-0.31660634095953477,-1.150311559326492
North America,3.3715710402065966,3.7030228542251
