,rcp26,rcp60
,0.0,0.0
"Central, North-East & South Asia",0.26011571488925794,-5.535078040740373
"West, Central, East & South Africa",1.0300092680222555,-34.495961245463576
Central and Western Europe,1.884356240815536,-1.6320876185198188
North Africa & Western Asia,-4.072191772269494,-20.69781516083478
South America,-9.055774703504776,-10.879255331872525
Eastern Europe,7.265463747242816,8.114749219372493
Oceania,-3.8720882308069937,-16.17072721071196
Caribbean & Mesoamerica,-2.684122921582276,-10.332142500627487
South-East Asia,-1.6583578718234977,-4.6916891443807325
North America,6.246855942105235,4.695549319786392
