,rcp26,rcp60
,,
"Central, North-East & South Asia",0.0698354186501287,0.18060420545792383
"West, Central, East & South Africa",0.2892088157143657,3.0663617288058567
Central and Western Europe,-0.026688005545515855,0.07800775128397881
North Africa & Western Asia,0.3367347903702534,2.055635152891461
South America,0.2556304541430622,0.5499401800504162
Eastern Europe,0.20471711692737482,0.2832393682459434
Oceania,0.1553510143402425,0.7177076551412317
Caribbean & Mesoamerica,0.05500699649214195,0.14749479066260907
South-East Asia,0.14955986391926912,0.33628364786612863
North America,0.15748566235062944,0.23827797839054213
