Region,Habitat,Scenario,Mean Relative Difference,Mean Land Use Change,Standard Deviation
"West, Central, East & South Africa",cropland,SSP1-RCP2.6,-1.061,4.475,1.106
Central and Western Europe,cropland,SSP1-RCP2.6,0.6,2.749,3.77
North Africa & Western Asia,cropland,SSP1-RCP2.6,-6.024,-0.625,2.808
South America,cropland,SSP1-RCP2.6,-2.373,0.274,1.638
Eastern Europe,cropland,SSP1-RCP2.6,10.924,1.785,3.239
Oceania,cropland,SSP1-RCP2.6,-3.267,5.204,1.819
Caribbean & Mesoamerica,cropland,SSP1-RCP2.6,-4.341,1.077,1.541
South-East Asia,cropland,SSP1-RCP2.6,-1.968,2.224,1.094
North America,cropland,SSP1-RCP2.6,9.283,2.555,3.778
"Central, North-East & South Asia",cropland,SSP1-RCP2.6,-1.631,1.293,2.203
"West, Central, East & South Africa",cropland,SSP4-RCP6.0,-3.663,-11.721,1.471
Central and Western Europe,cropland,SSP4-RCP6.0,0.646,2.869,3.76
North Africa & Western Asia,cropland,SSP4-RCP6.0,-5.936,-1.453,3.916
South America,cropland,SSP4-RCP6.0,-3.468,-0.333,2.44
Eastern Europe,cropland,SSP4-RCP6.0,17.811,1.46,4.051
Oceania,cropland,SSP4-RCP6.0,-3.54,3.43,3.359
Caribbean & Mesoamerica,cropland,SSP4-RCP6.0,-7.643,0.119,3.057
South-East Asia,cropland,SSP4-RCP6.0,-1.51,0.198,0.8
North America,cropland,SSP4-RCP6.0,17.017,3.549,5.259
"Central, North-East & South Asia",cropland,SSP4-RCP6.0,-4.216,-0.821,3.695
"West, Central, East & South Africa",pasture,SSP1-RCP2.6,-1.411,-2.062,1.294
Central and Western Europe,pasture,SSP1-RCP2.6,1.608,0.569,3.974
North Africa & Western Asia,pasture,SSP1-RCP2.6,-5.623,-0.544,2.162
South America,pasture,SSP1-RCP2.6,-4.424,-4.286,2.397
Eastern Europe,pasture,SSP1-RCP2.6,13.48,1.687,3.846
Oceania,pasture,SSP1-RCP2.6,-2.994,-0.263,1.993
Caribbean & Mesoamerica,pasture,SSP1-RCP2.6,-3.532,-1.337,2.883
South-East Asia,pasture,SSP1-RCP2.6,-2.81,-2.467,1.057
North America,pasture,SSP1-RCP2.6,11.153,1.676,4.314
"Central, North-East & South Asia",pasture,SSP1-RCP2.6,-2.715,-0.412,2.224
