Region,Habitat,Scenario,Mean Relative Difference,Mean Land Use Change,Standard Deviation
"West, Central, East & South Africa",forested land,RCP2.6/SSP1-RCP2.6,1.295,2.192,2.169847282103587
Central and Western Europe,forested land,RCP2.6/SSP1-RCP2.6,5.403,6.284,1.5688569591529755
North Africa & Western Asia,forested land,RCP2.6/SSP1-RCP2.6,-2.465,-1.291,4.569122107342823
South America,forested land,RCP2.6/SSP1-RCP2.6,-1.359,-3.169,1.5933227397321785
Eastern Europe,forested land,RCP2.6/SSP1-RCP2.6,11.77,1.563,4.49744694374001
Oceania,forested land,RCP2.6/SSP1-RCP2.6,-4.904,7.554,1.9780505002627604
Caribbean & Mesoamerica,forested land,RCP2.6/SSP1-RCP2.6,-4.156,3.44,2.076429648093427
South-East Asia,forested land,RCP2.6/SSP1-RCP2.6,0.593,-3.438,0.9534005066220278
North America,forested land,RCP2.6/SSP1-RCP2.6,7.073,2.63,2.884088084610378
"Central, North-East & South Asia",forested land,RCP2.6/SSP1-RCP2.6,-0.124,2.798,1.8352684318257009
"West, Central, East & South Africa",forested land,RCP6.0/SSP4-RCP6.0,-0.429,-26.337,2.563365503162901
Central and Western Europe,forested land,RCP6.0/SSP4-RCP6.0,5.747,4.382,3.00371989739948
North Africa & Western Asia,forested land,RCP6.0/SSP4-RCP6.0,-1.775,-2.716,8.132964382139278
South America,forested land,RCP6.0/SSP4-RCP6.0,-3.803,0.616,2.1337058977687047
Eastern Europe,forested land,RCP6.0/SSP4-RCP6.0,18.096,1.683,3.411750065139269
Oceania,forested land,RCP6.0/SSP4-RCP6.0,-3.165,4.831,4.5135017331422125
Caribbean & Mesoamerica,forested land,RCP6.0/SSP4-RCP6.0,-8.376,-3.055,4.215266944329623
South-East Asia,forested land,RCP6.0/SSP4-RCP6.0,0.509,-4.275,1.064090903373458
North America,forested land,RCP6.0/SSP4-RCP6.0,11.262,1.367,3.452631817411012
"Central, North-East & South Asia",forested land,RCP6.0/SSP4-RCP6.0,-1.481,-2.437,2.7182910880849467
"West, Central, East & South Africa",non-forested land,RCP2.6/SSP1-RCP2.6,0.508,2.569,1.3524881867284495
Central and Western Europe,non-forested land,RCP2.6/SSP1-RCP2.6,3.952,7.986,1.3289285028246594
North Africa & Western Asia,non-forested land,RCP2.6/SSP1-RCP2.6,-3.768,-2.643,1.782989015595454
South America,non-forested land,RCP2.6/SSP1-RCP2.6,-0.906,-3.406,1.7770810118158633
Eastern Europe,non-forested land,RCP2.6/SSP1-RCP2.6,10.546,2.41,4.2656603874397225
Oceania,non-forested land,RCP2.6/SSP1-RCP2.6,-3.185,8.809,1.6691369259742062
Caribbean & Mesoamerica,non-forested land,RCP2.6/SSP1-RCP2.6,-4.002,2.996,1.4516141696638885
South-East Asia,non-forested land,RCP2.6/SSP1-RCP2.6,-0.29,-1.613,1.2106182816637767
North America,non-forested land,RCP2.6/SSP1-RCP2.6,5.573,2.756,1.6244384427116227
"Central, North-East & South Asia",non-forested land,RCP2.6/SSP1-RCP2.6,-0.829,3.609,2.0294596866850543
"West, Central, East & South Africa",non-forested land,RCP6.0/SSP4-RCP6.0,-1.837,-26.295,1.6155878201328622
Central and Western Europe,non-forested land,RCP6.0/SSP4-RCP6.0,4.761,5.675,2.0599580637811314
North Africa & Western Asia,non-forested land,RCP6.0/SSP4-RCP6.0,-3.782,-4.181,3.6694563749264466
South America,non-forested land,RCP6.0/SSP4-RCP6.0,-2.153,-1.05,2.3033593265166012
Eastern Europe,non-forested land,RCP6.0/SSP4-RCP6.0,15.844,2.669,3.4777059390360017
Oceania,non-forested land,RCP6.0/SSP4-RCP6.0,-2.047,5.99,3.1582257248118757
Caribbean & Mesoamerica,non-forested land,RCP6.0/SSP4-RCP6.0,-7.233,-3.392,2.643456290814531
South-East Asia,non-forested land,RCP6.0/SSP4-RCP6.0,-0.098,-2.776,0.9639310018563463
North America,non-forested land,RCP6.0/SSP4-RCP6.0,8.571,2.257,2.0959648074662995
"Central, North-East & South Asia",non-forested land,RCP6.0/SSP4-RCP6.0,-2.509,-2.261,3.497044750921105
"West, Central, East & South Africa",cropland,RCP2.6/SSP1-RCP2.6,0.318,4.301,1.2075863256144006
Central and Western Europe,cropland,RCP2.6/SSP1-RCP2.6,5.09,3.31,1.9489893386499235
North Africa & Western Asia,cropland,RCP2.6/SSP1-RCP2.6,-2.572,-0.86,2.7978857033464353
South America,cropland,RCP2.6/SSP1-RCP2.6,1.52,0.355,2.678614142799853
Eastern Europe,cropland,RCP2.6/SSP1-RCP2.6,12.908,2.138,4.410638856321578
Oceania,cropland,RCP2.6/SSP1-RCP2.6,-3.5,5.255,2.125096866776637
Caribbean & Mesoamerica,cropland,RCP2.6/SSP1-RCP2.6,-4.706,1.123,1.4577537366406752
South-East Asia,cropland,RCP2.6/SSP1-RCP2.6,-0.808,2.186,1.2937528441557826
North America,cropland,RCP2.6/SSP1-RCP2.6,5.944,1.704,1.9378598616008098
"Central, North-East & South Asia",cropland,RCP2.6/SSP1-RCP2.6,-0.25,1.525,2.076400362399376
"West, Central, East & South Africa",cropland,RCP6.0/SSP4-RCP6.0,-1.417,-11.478,1.6048895029345733
Central and Western Europe,cropland,RCP6.0/SSP4-RCP6.0,6.707,3.52,2.5264939502672035
North Africa & Western Asia,cropland,RCP6.0/SSP4-RCP6.0,-1.436,-2.018,5.511196039858392
South America,cropland,RCP6.0/SSP4-RCP6.0,-0.465,-0.152,2.627094664592964
Eastern Europe,cropland,RCP6.0/SSP4-RCP6.0,20.642,2.035,3.6256740097783164
Oceania,cropland,RCP6.0/SSP4-RCP6.0,-1.35,3.155,3.837441070183016
Caribbean & Mesoamerica,cropland,RCP6.0/SSP4-RCP6.0,-9.084,0.039,2.5652652894526646
South-East Asia,cropland,RCP6.0/SSP4-RCP6.0,-0.127,0.144,1.1234895380533874
North America,cropland,RCP6.0/SSP4-RCP6.0,10.139,2.109,2.6450603136607014
"Central, North-East & South Asia",cropland,RCP6.0/SSP4-RCP6.0,-1.973,-0.745,3.6508003953787216
"West, Central, East & South Africa",pasture,RCP2.6/SSP1-RCP2.6,-0.432,-2.184,0.8574289501716671
Central and Western Europe,pasture,RCP2.6/SSP1-RCP2.6,5.937,0.344,2.682727546002828
North Africa & Western Asia,pasture,RCP2.6/SSP1-RCP2.6,-3.429,-0.268,1.6603153392820922
South America,pasture,RCP2.6/SSP1-RCP2.6,0.064,-4.526,1.662424212983384
Eastern Europe,pasture,RCP2.6/SSP1-RCP2.6,15.419,1.44,6.358000843597498
Oceania,pasture,RCP2.6/SSP1-RCP2.6,-3.697,-0.545,1.8821163019792657
Caribbean & Mesoamerica,pasture,RCP2.6/SSP1-RCP2.6,-4.088,-1.555,2.364299848055754
South-East Asia,pasture,RCP2.6/SSP1-RCP2.6,-1.134,-2.622,1.39576295304728
North America,pasture,RCP2.6/SSP1-RCP2.6,7.443,1.016,2.6696315140622815
