Region,Habitat,Scenario,Mean Relative Difference,Mean Land Use Change,Standard Deviation
"West, Central, East & South Africa",forested land,RCP2.6/SSP1-RCP2.6,1.295,2.192,2.17
Central and Western Europe,forested land,RCP2.6/SSP1-RCP2.6,5.403,6.284,1.569
North Africa & Western Asia,forested land,RCP2.6/SSP1-RCP2.6,-2.465,-1.291,4.569
South America,forested land,RCP2.6/SSP1-RCP2.6,-1.359,-3.169,1.593
Eastern Europe,forested land,RCP2.6/SSP1-RCP2.6,11.77,1.563,4.497
Oceania,forested land,RCP2.6/SSP1-RCP2.6,-4.904,7.554,1.978
Caribbean & Mesoamerica,forested land,RCP2.6/SSP1-RCP2.6,-4.156,3.44,2.076
South-East Asia,forested land,RCP2.6/SSP1-RCP2.6,0.593,-3.438,0.953
North America,forested land,RCP2.6/SSP1-RCP2.6,7.073,2.63,2.884
"Central, North-East & South Asia",forested land,RCP2.6/SSP1-RCP2.6,-0.124,2.798,1.835
"West, Central, East & South Africa",forested land,RCP6.0/SSP4-RCP6.0,-0.429,-26.337,2.563
Central and Western Europe,forested land,RCP6.0/SSP4-RCP6.0,5.747,4.382,3.004
North Africa & Western Asia,forested land,RCP6.0/SSP4-RCP6.0,-1.775,-2.716,8.133
South America,forested land,RCP6.0/SSP4-RCP6.0,-3.803,0.616,2.134
Eastern Europe,forested land,RCP6.0/SSP4-RCP6.0,18.096,1.683,3.412
Oceania,forested land,RCP6.0/SSP4-RCP6.0,-3.165,4.831,4.514
Caribbean & Mesoamerica,forested land,RCP6.0/SSP4-RCP6.0,-8.376,-3.055,4.215
South-East Asia,forested land,RCP6.0/SSP4-RCP6.0,0.509,-4.275,1.064
North America,forested land,RCP6.0/SSP4-RCP6.0,11.262,1.367,3.453
"Central, North-East & South Asia",forested land,RCP6.0/SSP4-RCP6.0,-1.481,-2.437,2.718
"West, Central, East & South Africa",non-forested land,RCP2.6/SSP1-RCP2.6,0.508,2.569,1.352
Central and Western Europe,non-forested land,RCP2.6/SSP1-RCP2.6,3.952,7.986,1.329
North Africa & Western Asia,non-forested land,RCP2.6/SSP1-RCP2.6,-3.768,-2.643,1.783
South America,non-forested land,RCP2.6/SSP1-RCP2.6,-0.906,-3.406,1.777
Eastern Europe,non-forested land,RCP2.6/SSP1-RCP2.6,10.546,2.41,4.266
Oceania,non-forested land,RCP2.6/SSP1-RCP2.6,-3.185,8.809,1.669
Caribbean & Mesoamerica,non-forested land,RCP2.6/SSP1-RCP2.6,-4.002,2.996,1.452
South-East Asia,non-forested land,RCP2.6/SSP1-RCP2.6,-0.29,-1.613,1.211
North America,non-forested land,RCP2.6/SSP1-RCP2.6,5.573,2.756,1.624
"Central, North-East & South Asia",non-forested land,RCP2.6/SSP1-RCP2.6,-0.829,3.609,2.029
"West, Central, East & South Africa",non-forested land,RCP6.0/SSP4-RCP6.0,-1.837,-26.295,1.616
Central and Western Europe,non-forested land,RCP6.0/SSP4-RCP6.0,4.761,5.675,2.06
North Africa & Western Asia,non-forested land,RCP6.0/SSP4-RCP6.0,-3.782,-4.181,3.669
South America,non-forested land,RCP6.0/SSP4-RCP6.0,-2.153,-1.05,2.303
Eastern Europe,non-forested land,RCP6.0/SSP4-RCP6.0,15.844,2.669,3.478
Oceania,non-forested land,RCP6.0/SSP4-RCP6.0,-2.047,5.99,3.158
Caribbean & Mesoamerica,non-forested land,RCP6.0/SSP4-RCP6.0,-7.233,-3.392,2.643
South-East Asia,non-forested land,RCP6.0/SSP4-RCP6.0,-0.098,-2.776,0.964
North America,non-forested land,RCP6.0/SSP4-RCP6.0,8.571,2.257,2.096
"Central, North-East & South Asia",non-forested land,RCP6.0/SSP4-RCP6.0,-2.509,-2.261,3.497
"West, Central, East & South Africa",cropland,RCP2.6/SSP1-RCP2.6,0.318,4.301,1.208
Central and Western Europe,cropland,RCP2.6/SSP1-RCP2.6,5.09,3.31,1.949
North Africa & Western Asia,cropland,RCP2.6/SSP1-RCP2.6,-2.572,-0.86,2.798
South America,cropland,RCP2.6/SSP1-RCP2.6,1.52,0.355,2.679
Eastern Europe,cropland,RCP2.6/SSP1-RCP2.6,12.908,2.138,4.411
Oceania,cropland,RCP2.6/SSP1-RCP2.6,-3.5,5.255,2.125
Caribbean & Mesoamerica,cropland,RCP2.6/SSP1-RCP2.6,-4.706,1.123,1.458
South-East Asia,cropland,RCP2.6/SSP1-RCP2.6,-0.808,2.186,1.294
North America,cropland,RCP2.6/SSP1-RCP2.6,5.944,1.704,1.938
"Central, North-East & South Asia",cropland,RCP2.6/SSP1-RCP2.6,-0.25,1.525,2.076
"West, Central, East & South Africa",cropland,RCP6.0/SSP4-RCP6.0,-1.417,-11.478,1.605
Central and Western Europe,cropland,RCP6.0/SSP4-RCP6.0,6.707,3.52,2.526
North Africa & Western Asia,cropland,RCP6.0/SSP4-RCP6.0,-1.436,-2.018,5.511
South America,cropland,RCP6.0/SSP4-RCP6.0,-0.465,-0.152,2.627
Eastern Europe,cropland,RCP6.0/SSP4-RCP6.0,20.642,2.035,3.626
Oceania,cropland,RCP6.0/SSP4-RCP6.0,-1.35,3.155,3.837
Caribbean & Mesoamerica,cropland,RCP6.0/SSP4-RCP6.0,-9.084,0.039,2.565
South-East Asia,cropland,RCP6.0/SSP4-RCP6.0,-0.127,0.144,1.123
North America,cropland,RCP6.0/SSP4-RCP6.0,10.139,2.109,2.645
"Central, North-East & South Asia",cropland,RCP6.0/SSP4-RCP6.0,-1.973,-0.745,3.651
"West, Central, East & South Africa",pasture,RCP2.6/SSP1-RCP2.6,-0.432,-2.184,0.857
Central and Western Europe,pasture,RCP2.6/SSP1-RCP2.6,5.937,0.344,2.683
North Africa & Western Asia,pasture,RCP2.6/SSP1-RCP2.6,-3.429,-0.268,1.66
South America,pasture,RCP2.6/SSP1-RCP2.6,0.064,-4.526,1.662
Eastern Europe,pasture,RCP2.6/SSP1-RCP2.6,15.419,1.44,6.358
Oceania,pasture,RCP2.6/SSP1-RCP2.6,-3.697,-0.545,1.882
Caribbean & Mesoamerica,pasture,RCP2.6/SSP1-RCP2.6,-4.088,-1.555,2.364
South-East Asia,pasture,RCP2.6/SSP1-RCP2.6,-1.134,-2.622,1.396
North America,pasture,RCP2.6/SSP1-RCP2.6,7.443,1.016,2.67
"Central, North-East & South Asia",pasture,RCP2.6/SSP1-RCP2.6,-1.023,-0.612,2.142
"West, Central, East & South Africa",pasture,RCP6.0/SSP4-RCP6.0,-2.12,-1.105,1.114
Central and Western Europe,pasture,RCP6.0/SSP4-RCP6.0,8.559,0.864,2.502
North Africa & Western Asia,pasture,RCP6.0/SSP4-RCP6.0,-3.717,-0.253,3.094
South America,pasture,RCP6.0/SSP4-RCP6.0,-2.175,-1.359,1.919
Eastern Europe,pasture,RCP6.0/SSP4-RCP6.0,24.811,2.391,5.121
Oceania,pasture,RCP6.0/SSP4-RCP6.0,-2.801,-0.564,3.875
Caribbean & Mesoamerica,pasture,RCP6.0/SSP4-RCP6.0,-8.55,-2.229,4.158
South-East Asia,pasture,RCP6.0/SSP4-RCP6.0,-0.207,-0.985,1.395
North America,pasture,RCP6.0/SSP4-RCP6.0,12.566,1.096,3.661
"Central, North-East & South Asia",pasture,RCP6.0/SSP4-RCP6.0,-3.149,-0.83,3.97
